# Undirected graph: oregon1_010331.txt
# AS peering information inferred from Oregon route-views BGP data, from March 31 2001
# Nodes: 10670 Edges: 22002
# FromNodeId	ToNodeId
10000	4725        10
4725	6805        21
4725	7523        7
4725	7524        22
4725	7673        7
4725	9352        8
4725	9356        10
4725	9368        7
4725	9599        18
4725	9601        5
4725	9614        7
4725	9618        15
4725	9997        6
4725	10000        13
4725	10006        6
4732	4983        14
4732	7690        20
4732	9354        23
4732	9356        7
4732	9357        13
4732	9368        7
4732	9380        13
4732	9601        7
4732	10000        19
4732	10001        23
4732	10002        17
4732	10003        24
4732	10004        23
4732	10011        6
4732	10019        6
4732	17514        8
4680	7524        11
4680	7526        20
4680	10001        16
7518	9351        15
7518	9354        11
7518	9363        18
7518	9613        7
7518	9615        23
7518	9997        8
7518	10002        17
7518	10003        19
7518	10011        15
7518	10019        11
4716	6461        19
4716	7512        14
4716	7514        23
4716	9352        9
4716	9359        17
4716	9602        24
4716	9671        9
4716	9999        6
4716	10006        13
4716	10009        8
4716	10018        22
3549	3557        15
3549	3561        11
3549	3563        24
3549	3742        18
3549	3786        20
3549	3846        12
3549	3900        19
3549	3914        24
3549	3931        18
3549	3967        17
3549	3976        9
3549	4006        5
3549	4039        19
3549	4183        15
3549	4200        17
3549	4211        12
3549	4230        16
3549	4258        14
3549	4323        5
3549	4355        13
3549	4436        14
3549	4492        19
3549	4513        13
3549	4550        20
3549	4565        10
3549	4637        10
3549	4648        15
3549	4675        24
3549	4678        10
3549	4685        20
3549	4693        20
3549	4725        19
3549	4755        23
3549	4766        15
3549	5000        21
3549	5033        18
3549	5097        7
3549	5401        5
3549	5430        18
3549	5459        10
3549	5511        21
3549	5650        20
3549	5651        16
3549	5668        16
3549	5684        12
3549	5705        21
3549	5727        12
3549	5738        14
3549	6066        23
3549	6079        18
3549	6095        21
3549	6123        9
3549	6140        22
3549	6172        18
3549	6220        17
3549	6221        18
3549	6259        20
3549	6325        5
3549	6347        12
3549	6358        16
3549	6371        9
3549	6395        15
3549	6402        24
3549	6427        5
3549	6453        24
3549	6461        11
3549	6467        15
3549	6469        18
3549	6484        7
3549	6555        6
3549	6576        20
3549	6716        18
3549	6762        12
3549	6785        18
3549	6841        11
3549	6950        19
3549	6954        22
3549	6967        15
3549	6993        10
3549	6999        22
3549	7010        20
3549	7018        19
3549	7055        5
3549	7091        22
3549	7138        15
3549	7141        18
3549	7170        20
3549	7176        13
3549	7194        5
3549	7232        9
3549	7296        23
3549	7321        18
3549	7351        20
3549	7473        5
3549	7503        8
3549	7514        7
3549	7518        13
3549	7673        15
3549	7683        8
3549	7686        23
3549	7770        20
3549	7837        19
3549	7883        9
3549	7908        20
3549	7911        10
3549	7922        14
3549	7930        9
3549	7936        17
3549	7960        15
3549	7976        24
3549	8001        21
3549	8002        16
3549	8011        18
3549	8057        20
3549	8070        17
3549	8120        14
3549	8259        10
3549	8297        5
3549	8327        20
3549	8723        8
3549	8731        14
3549	8881        8
3549	9057        13
3549	9145        17
3549	9167        16
3549	9211        7
3549	9304        18
3549	9370        18
3549	9595        13
3549	9603        6
3549	9607        21
3549	9609        20
3549	9610        23
3549	9680        13
3549	9824        13
3549	10007        7
3549	10240        18
3549	10265        23
3549	10310        21
3549	10325        23
3549	10381        22
3549	10487        7
3549	10514        8
3549	10627        7
3549	10663        10
3549	10673        20
3549	10732        19
3549	10759        6
3549	10860        14
3549	10910        10
3549	10911        15
3549	10913        17
3549	11022        15
3549	11023        16
3549	11042        10
3549	11135        15
3549	11162        22
3549	11192        6
3549	11206        9
3549	11220        13
3549	11325        12
3549	11333        16
3549	11378        21
3549	11388        23
3549	11443        22
3549	11456        10
3549	11480        12
3549	11588        24
3549	11638        12
3549	11656        19
3549	11669        10
3549	11674        18
3549	11680        11
3549	11711        15
3549	11731        23
3549	11767        7
3549	11783        12
3549	11803        10
3549	11841        18
3549	11880        7
3549	11881        8
3549	11899        14
3549	11913        14
3549	11935        7
3549	11992        6
3549	12012        21
3549	12050        15
3549	12077        17
3549	12092        8
3549	12114        22
3549	12117        11
3549	12156        8
3549	12158        18
3549	12220        14
3549	12235        5
3549	12236        9
3549	12731        21
3549	12781        13
3549	12956        23
3549	13003        7
3549	13009        16
3549	13108        8
3549	13129        16
3549	13163        20
3549	13207        15
3549	13219        21
3549	13328        5
3549	13344        18
3549	13345        10
3549	13405        19
3549	13423        7
3549	13468        6
3549	13525        18
3549	13526        20
3549	13543        11
3549	13549        17
3549	13609        21
3549	13627        24
3549	13629        7
3549	13646        7
3549	13703        17
3549	13721        5
3549	13724        9
3549	13734        24
3549	13744        6
3549	13768        8
3549	13853        9
3549	13890        19
3549	13912        24
3549	13955        18
3549	13956        9
3549	13957        22
3549	13982        11
3549	13985        17
3549	14001        10
3549	14051        6
3549	14061        17
3549	14095        16
3549	14167        11
3549	14184        17
3549	14201        7
3549	14203        13
3549	14242        22
3549	14252        8
3549	14281        6
3549	14294        17
3549	14310        7
3549	14320        18
3549	14323        22
3549	14345        5
3549	14349        5
3549	14361        7
3549	14413        14
3549	14446        9
3549	14466        22
3549	14471        16
3549	14494        6
3549	14501        23
3549	14569        19
3549	14592        18
3549	14614        10
3549	14642        16
3549	14671        11
3549	14673        23
3549	14677        6
3549	14719        13
3549	14741        20
3549	14742        6
3549	14744        8
3549	14745        12
3549	14757        20
3549	14785        12
3549	14846        24
3549	14869        19
3549	14895        17
3549	14917        6
3549	14936        19
3549	14963        11
3549	14971        22
3549	14986        16
3549	14991        10
3549	15043        19
3549	15077        6
3549	15079        11
3549	15111        11
3549	15143        20
3549	15169        9
3549	15217        8
3549	15270        13
3549	15285        15
3549	15286        14
3549	15289        7
3549	15300        14
3549	15310        19
3549	15331        21
3549	15347        17
3549	15504        19
3549	15516        9
3549	15664        14
3549	15862        24
3549	15872        23
3549	15878        11
3549	15936        19
3549	16392        18
3549	16395        11
3549	16396        8
3549	16399        19
3549	16405        23
3549	16412        23
3549	16429        5
3549	16455        22
3549	16474        14
3549	16502        10
3549	16508        7
3549	16540        11
3549	16544        15
3549	16561        8
3549	16595        22
3549	16647        6
3549	16676        10
3549	16682        18
3549	16713        19
3549	16734        15
3549	16739        16
3549	16779        10
3549	16808        22
3549	16809        15
3549	16842        7
3549	16869        14
3549	16912        14
3549	16918        24
3549	16922        17
3549	16948        10
3549	16993        10
3549	17034        11
3549	17088        17
3549	17093        13
3549	17143        14
3549	17184        12
3549	17201        22
3549	17239        19
3549	17256        9
3549	17301        12
3549	17311        11
3549	17358        8
3549	17382        7
3549	17388        16
3549	17506        11
3549	18439        10
3549	18447        16
3549	18448        17
3549	18591        15
3549	18614        23
3549	18640        8
