# Undirected graph: oregon1_010331.txt
# AS peering information inferred from Oregon route-views BGP data, from March 31 2001
# Nodes: 10670 Edges: 22002
# FromNodeId	ToNodeId
10000	4725        23
4725	6805        13
4725	7523        20
4725	7524        21
4725	7673        15
4725	9352        23
4725	9356        7
4725	9368        14
4725	9599        24
4725	9601        12
4725	9614        21
4725	9618        9
4725	9997        10
4725	10000        6
4725	10006        7
4732	4983        6
4732	7690        11
4732	9354        23
4732	9356        22
4732	9357        7
4732	9368        17
4732	9380        24
4732	9601        15
4732	10000        8
4732	10001        7
4732	10002        18
4732	10003        10
4732	10004        5
4732	10011        17
4732	10019        23
4732	17514        23
4680	7524        17
4680	7526        23
4680	10001        8
7518	9351        19
7518	9354        21
7518	9363        14
7518	9613        10
7518	9615        5
7518	9997        5
7518	10002        6
7518	10003        24
7518	10011        11
7518	10019        14
4716	6461        11
4716	7512        15
4716	7514        6
4716	9352        14
4716	9359        9
4716	9602        5
4716	9671        21
4716	9999        14
4716	10006        5
4716	10009        19
4716	10018        15
3549	3557        12
3549	3561        18
3549	3563        12
3549	3742        23
3549	3786        19
3549	3846        11
3549	3900        23
3549	3914        13
3549	3931        8
3549	3967        5
3549	3976        7
3549	4006        17
3549	4039        8
3549	4183        12
3549	4200        22
3549	4211        21
3549	4230        20
3549	4258        23
3549	4323        5
3549	4355        5
3549	4436        20
3549	4492        17
3549	4513        9
3549	4550        18
3549	4565        20
3549	4637        8
3549	4648        21
3549	4675        6
3549	4678        9
3549	4685        7
3549	4693        7
3549	4725        20
3549	4755        15
3549	4766        20
3549	5000        11
3549	5033        17
3549	5097        22
3549	5401        12
3549	5430        6
3549	5459        13
3549	5511        5
3549	5650        19
3549	5651        6
3549	5668        22
3549	5684        12
3549	5705        5
3549	5727        21
3549	5738        11
3549	6066        21
3549	6079        21
3549	6095        9
3549	6123        24
3549	6140        23
3549	6172        13
3549	6220        6
3549	6221        16
3549	6259        17
3549	6325        23
3549	6347        13
3549	6358        8
3549	6371        21
3549	6395        14
3549	6402        21
3549	6427        15
3549	6453        21
3549	6461        13
3549	6467        15
3549	6469        18
3549	6484        24
3549	6555        21
3549	6576        21
3549	6716        22
3549	6762        24
3549	6785        17
3549	6841        21
3549	6950        20
3549	6954        21
3549	6967        23
3549	6993        24
3549	6999        14
3549	7010        15
3549	7018        10
3549	7055        11
3549	7091        10
3549	7138        9
3549	7141        15
3549	7170        12
3549	7176        20
3549	7194        9
3549	7232        10
3549	7296        10
3549	7321        16
3549	7351        5
3549	7473        16
3549	7503        16
3549	7514        5
3549	7518        23
3549	7673        16
3549	7683        20
3549	7686        16
3549	7770        5
3549	7837        23
3549	7883        20
3549	7908        18
3549	7911        18
3549	7922        16
3549	7930        7
3549	7936        8
3549	7960        10
3549	7976        19
3549	8001        12
3549	8002        16
3549	8011        13
3549	8057        17
3549	8070        5
3549	8120        15
3549	8259        20
3549	8297        10
3549	8327        16
3549	8723        19
3549	8731        14
3549	8881        18
3549	9057        12
3549	9145        7
3549	9167        20
3549	9211        15
3549	9304        21
3549	9370        14
3549	9595        20
3549	9603        14
3549	9607        18
3549	9609        17
3549	9610        16
3549	9680        17
3549	9824        10
3549	10007        16
3549	10240        15
3549	10265        9
3549	10310        24
3549	10325        15
3549	10381        7
3549	10487        22
3549	10514        11
